SERVICIO,LR-CONST,LR-AVELL,LR-SARAN,LR-VDOMI,LR-WILDE,LR-DBOSC,LR-BERNA,LR-QUILM,LR-EZPEL,LR-BERAZ,LR-VESPA,LR-RANEL,LR-SOURI,LR-BOSQU
E2039,04:25,04:33,04:39,04:42,04:45,04:47,04:50,04:53,04:58,05:02,05:05,05:09,05:13,05:18
E2047,,,,,,,,,,05:28,05:31,05:35,05:39,05:44
4051,05:08,05:16,05:22,05:25,05:28,05:30,05:33,05:36,05:41,05:45,,,,
2055,05:27,05:35,05:41,05:44,05:47,05:49,05:52,05:55,06:00,06:04,06:07,06:11,06:15,06:20
4059,05:40,05:48,05:54,05:57,06:00,06:02,06:05,06:08,06:13,06:17,,,,
2063,06:01,06:09,06:15,06:18,06:21,06:23,06:26,06:29,06:34,06:38,06:41,06:45,06:49,06:54
4067,06:10,06:18,06:24,06:27,06:30,06:32,06:35,06:38,06:43,06:47,,,,
2071,06:27,06:35,06:41,06:44,06:47,06:49,06:52,06:55,07:00,07:04,07:07,07:11,07:15,07:20
4075,06:35,06:43,06:49,06:52,06:55,06:57,07:00,07:03,07:08,07:12,,,,
2079,06:51,06:59,07:05,07:08,07:11,07:13,07:16,07:19,07:24,07:28,07:31,07:35,07:39,07:44
4083,06:58,07:06,07:12,07:15,07:18,07:20,07:23,07:26,07:31,07:35,,,,
2087,07:15,07:23,07:29,07:32,07:35,07:37,07:40,07:43,07:48,07:52,07:55,07:59,08:03,08:08
2095,07:39,07:47,07:53,07:56,07:59,08:01,08:04,08:07,08:12,08:16,08:19,08:23,08:27,08:32
4099,07:46,07:54,08:00,08:03,08:06,08:08,08:11,08:14,08:19,08:23,,,,
4107,08:10,08:18,08:24,08:27,08:30,08:32,08:35,08:38,08:43,08:47,,,,
2111,08:27,08:35,08:41,08:44,08:47,08:49,08:52,08:55,09:00,09:04,09:07,09:11,09:15,09:20
4115,08:35,08:43,08:49,08:52,08:55,08:57,09:00,09:03,09:08,09:12,,,,
2119,08:51,08:59,09:05,09:08,09:11,09:13,09:16,09:19,09:24,09:28,09:31,09:35,09:39,09:44
4123,08:59,09:07,09:13,09:16,09:19,09:21,09:24,09:27,09:32,09:36,,,,
2127,09:15,09:23,09:29,09:32,09:35,09:37,09:40,09:43,09:48,09:52,09:55,09:59,10:03,10:08
2135,09:40,09:48,09:54,09:57,10:00,10:02,10:05,10:08,10:13,10:17,10:20,10:24,10:28,10:33
4139,09:47,09:55,10:01,10:04,10:07,10:09,10:12,10:15,10:20,10:24,,,,
2143,10:07,10:15,10:21,10:24,10:27,10:29,10:32,10:35,10:40,10:44,10:47,10:51,10:55,11:00
4147,10:19,10:27,10:33,10:36,10:39,10:41,10:44,10:47,10:52,10:56,,,,
2151,10:37,10:45,10:51,10:54,10:57,10:59,11:02,11:05,11:10,11:14,11:17,11:21,11:25,11:30
4155,10:51,10:59,11:05,11:08,11:11,11:13,11:16,11:19,11:24,11:28,,,,
4163,11:25,11:33,11:39,11:42,11:45,11:47,11:50,11:53,11:58,12:02,,,,
2167,11:37,11:45,11:51,11:54,11:57,11:59,12:02,12:05,12:10,12:14,12:17,12:21,12:25,12:30
4171,11:55,12:03,12:09,12:12,12:15,12:17,12:20,12:23,12:28,12:32,,,,
2175,12:08,12:16,12:22,12:25,12:28,12:30,12:33,12:36,12:41,12:45,12:48,12:52,12:56,13:01
4179,12:23,12:31,12:37,12:40,12:43,12:45,12:48,12:51,12:56,13:00,,,,
2183,12:37,12:45,12:51,12:54,12:57,12:59,13:02,13:05,13:10,13:14,13:17,13:21,13:25,13:30
4187,12:53,13:01,13:07,13:10,13:13,13:15,13:18,13:21,13:26,13:30,,,,
2191,13:05,13:13,13:19,13:22,13:25,13:27,13:30,13:33,13:38,13:42,13:45,13:49,13:53,13:58
4195,13:23,13:31,13:37,13:40,13:43,13:45,13:48,13:51,13:56,14:00,,,,
4199,13:38,13:46,13:52,13:55,13:58,14:00,14:03,14:06,14:11,14:15,,,,
4203,13:55,14:03,14:09,14:12,14:15,14:17,14:20,14:23,14:28,14:32,,,,
2207,14:08,14:16,14:22,14:25,14:28,14:30,14:33,14:36,14:41,14:45,14:48,14:52,14:56,15:01
4211,14:26,14:34,14:40,14:43,14:46,14:48,14:51,14:54,14:59,15:03,,,,
2215,14:39,14:47,14:53,14:56,14:59,15:01,15:04,15:07,15:12,15:16,15:19,15:23,15:27,15:32
4219,14:53,15:01,15:07,15:10,15:13,15:15,15:18,15:21,15:26,15:30,,,,
2223,15:11,15:19,15:25,15:28,15:31,15:33,15:36,15:39,15:44,15:48,15:51,15:55,15:59,16:04
4227,15:22,15:30,15:36,15:39,15:42,15:44,15:47,15:50,15:55,15:59,,,,
2231,15:39,15:47,15:53,15:56,15:59,16:01,16:04,16:07,16:12,16:16,16:19,16:23,16:27,16:32
4235,15:46,15:54,16:00,16:03,16:06,16:08,16:11,16:14,16:19,16:23,,,,
2239,16:03,16:11,16:17,16:20,16:23,16:25,16:28,16:31,16:36,16:40,16:43,16:47,16:51,16:56
4243,16:10,16:18,16:24,16:27,16:30,16:32,16:35,16:38,16:43,16:47,,,,
2247,16:27,16:35,16:41,16:44,16:47,16:49,16:52,16:55,17:00,17:04,17:07,17:11,17:15,17:20
2255,16:51,16:59,17:05,17:08,17:11,17:13,17:16,17:19,17:24,17:28,17:31,17:35,17:39,17:44
4259,16:58,17:06,17:12,17:15,17:18,17:20,17:23,17:26,17:31,17:35,,,,
2263,17:15,17:23,17:29,17:32,17:35,17:37,17:40,17:43,17:48,17:52,17:55,17:59,18:03,18:08
4267,17:22,17:30,17:36,17:39,17:42,17:44,17:47,17:50,17:55,17:59,,,,
2271,17:39,17:47,17:53,17:56,17:59,18:01,18:04,18:07,18:12,18:16,18:19,18:23,18:27,18:32
4275,17:46,17:54,18:00,18:03,18:06,18:08,18:11,18:14,18:19,18:23,,,,
4283,18:10,18:18,18:24,18:27,18:30,18:32,18:35,18:38,18:43,18:47,,,,
2287,18:27,18:35,18:41,18:44,18:47,18:49,18:52,18:55,19:00,19:04,19:07,19:11,19:15,19:20
4291,18:34,18:42,18:48,18:51,18:54,18:56,18:59,19:02,19:07,19:11,,,,
2295,18:51,18:59,19:05,19:08,19:11,19:13,19:16,19:19,19:24,19:28,19:31,19:35,19:39,19:44
4299,18:58,19:06,19:12,19:15,19:18,19:20,19:23,19:26,19:31,19:35,,,,
2303,19:15,19:23,19:29,19:32,19:35,19:37,19:40,19:43,19:48,19:52,19:55,19:59,20:03,20:08
4307,19:23,19:31,19:37,19:40,19:43,19:45,19:48,19:51,19:56,20:00,,,,
2311,19:39,19:47,19:53,19:56,19:59,20:01,20:04,20:07,20:12,20:16,20:19,20:23,20:27,20:32
4315,19:47,19:55,20:01,20:04,20:07,20:09,20:12,20:15,20:20,20:24,,,,
4323,20:19,20:27,20:33,20:36,20:39,20:41,20:44,20:47,20:52,20:56,,,,
2327,20:36,20:44,20:50,20:53,20:56,20:58,21:01,21:04,21:09,21:13,21:16,21:20,21:24,21:29
4331,20:49,20:57,21:03,21:06,21:09,21:11,21:14,21:17,21:22,21:26,,,,
E2335,21:06,21:14,21:20,21:23,21:26,21:28,21:31,21:34,21:39,21:43,,,,E2039,04:25,04:33,04:39,04:42,04:45,04:47,04:50,04:53,04:58,05:02,05:05,05:09,05:13,05:18
E2047,,,,,,,,,,05:28,05:31,05:35,05:39,05:44
4051,05:08,05:16,05:22,05:25,05:28,05:30,05:33,05:36,05:41,05:45,,,,
2055,05:27,05:35,05:41,05:44,05:47,05:49,05:52,05:55,06:00,06:04,06:07,06:11,06:15,06:20
4059,05:40,05:48,05:54,05:57,06:00,06:02,06:05,06:08,06:13,06:17,,,,
2063,06:01,06:09,06:15,06:18,06:21,06:23,06:26,06:29,06:34,06:38,06:41,06:45,06:49,06:54
4067,06:10,06:18,06:24,06:27,06:30,06:32,06:35,06:38,06:43,06:47,,,,
2071,06:27,06:35,06:41,06:44,06:47,06:49,06:52,06:55,07:00,07:04,07:07,07:11,07:15,07:20
4075,06:35,06:43,06:49,06:52,06:55,06:57,07:00,07:03,07:08,07:12,,,,
2079,06:51,06:59,07:05,07:08,07:11,07:13,07:16,07:19,07:24,07:28,07:31,07:35,07:39,07:44
4083,06:58,07:06,07:12,07:15,07:18,07:20,07:23,07:26,07:31,07:35,,,,
2087,07:15,07:23,07:29,07:32,07:35,07:37,07:40,07:43,07:48,07:52,07:55,07:59,08:03,08:08
2095,07:39,07:47,07:53,07:56,07:59,08:01,08:04,08:07,08:12,08:16,08:19,08:23,08:27,08:32
4099,07:46,07:54,08:00,08:03,08:06,08:08,08:11,08:14,08:19,08:23,,,,
4107,08:10,08:18,08:24,08:27,08:30,08:32,08:35,08:38,08:43,08:47,,,,
2111,08:27,08:35,08:41,08:44,08:47,08:49,08:52,08:55,09:00,09:04,09:07,09:11,09:15,09:20
4115,08:35,08:43,08:49,08:52,08:55,08:57,09:00,09:03,09:08,09:12,,,,
2119,08:51,08:59,09:05,09:08,09:11,09:13,09:16,09:19,09:24,09:28,09:31,09:35,09:39,09:44
4123,08:59,09:07,09:13,09:16,09:19,09:21,09:24,09:27,09:32,09:36,,,,
2127,09:15,09:23,09:29,09:32,09:35,09:37,09:40,09:43,09:48,09:52,09:55,09:59,10:03,10:08
2135,09:40,09:48,09:54,09:57,10:00,10:02,10:05,10:08,10:13,10:17,10:20,10:24,10:28,10:33
4139,09:47,09:55,10:01,10:04,10:07,10:09,10:12,10:15,10:20,10:24,,,,
2143,10:07,10:15,10:21,10:24,10:27,10:29,10:32,10:35,10:40,10:44,10:47,10:51,10:55,11:00
4147,10:19,10:27,10:33,10:36,10:39,10:41,10:44,10:47,10:52,10:56,,,,
2151,10:37,10:45,10:51,10:54,10:57,10:59,11:02,11:05,11:10,11:14,11:17,11:21,11:25,11:30
4155,10:51,10:59,11:05,11:08,11:11,11:13,11:16,11:19,11:24,11:28,,,,
4163,11:25,11:33,11:39,11:42,11:45,11:47,11:50,11:53,11:58,12:02,,,,
2167,11:37,11:45,11:51,11:54,11:57,11:59,12:02,12:05,12:10,12:14,12:17,12:21,12:25,12:30
4171,11:55,12:03,12:09,12:12,12:15,12:17,12:20,12:23,12:28,12:32,,,,
2175,12:08,12:16,12:22,12:25,12:28,12:30,12:33,12:36,12:41,12:45,12:48,12:52,12:56,13:01
4179,12:23,12:31,12:37,12:40,12:43,12:45,12:48,12:51,12:56,13:00,,,,
2183,12:37,12:45,12:51,12:54,12:57,12:59,13:02,13:05,13:10,13:14,13:17,13:21,13:25,13:30
4187,12:53,13:01,13:07,13:10,13:13,13:15,13:18,13:21,13:26,13:30,,,,
2191,13:05,13:13,13:19,13:22,13:25,13:27,13:30,13:33,13:38,13:42,13:45,13:49,13:53,13:58
4195,13:23,13:31,13:37,13:40,13:43,13:45,13:48,13:51,13:56,14:00,,,,
4199,13:38,13:46,13:52,13:55,13:58,14:00,14:03,14:06,14:11,14:15,,,,
4203,13:55,14:03,14:09,14:12,14:15,14:17,14:20,14:23,14:28,14:32,,,,
2207,14:08,14:16,14:22,14:25,14:28,14:30,14:33,14:36,14:41,14:45,14:48,14:52,14:56,15:01
4211,14:26,14:34,14:40,14:43,14:46,14:48,14:51,14:54,14:59,15:03,,,,
2215,14:39,14:47,14:53,14:56,14:59,15:01,15:04,15:07,15:12,15:16,15:19,15:23,15:27,15:32
4219,14:53,15:01,15:07,15:10,15:13,15:15,15:18,15:21,15:26,15:30,,,,
2223,15:11,15:19,15:25,15:28,15:31,15:33,15:36,15:39,15:44,15:48,15:51,15:55,15:59,16:04
4227,15:22,15:30,15:36,15:39,15:42,15:44,15:47,15:50,15:55,15:59,,,,
2231,15:39,15:47,15:53,15:56,15:59,16:01,16:04,16:07,16:12,16:16,16:19,16:23,16:27,16:32
4235,15:46,15:54,16:00,16:03,16:06,16:08,16:11,16:14,16:19,16:23,,,,
2239,16:03,16:11,16:17,16:20,16:23,16:25,16:28,16:31,16:36,16:40,16:43,16:47,16:51,16:56
4243,16:10,16:18,16:24,16:27,16:30,16:32,16:35,16:38,16:43,16:47,,,,
2247,16:27,16:35,16:41,16:44,16:47,16:49,16:52,16:55,17:00,17:04,17:07,17:11,17:15,17:20
2255,16:51,16:59,17:05,17:08,17:11,17:13,17:16,17:19,17:24,17:28,17:31,17:35,17:39,17:44
4259,16:58,17:06,17:12,17:15,17:18,17:20,17:23,17:26,17:31,17:35,,,,
2263,17:15,17:23,17:29,17:32,17:35,17:37,17:40,17:43,17:48,17:52,17:55,17:59,18:03,18:08
4267,17:22,17:30,17:36,17:39,17:42,17:44,17:47,17:50,17:55,17:59,,,,
2271,17:39,17:47,17:53,17:56,17:59,18:01,18:04,18:07,18:12,18:16,18:19,18:23,18:27,18:32
4275,17:46,17:54,18:00,18:03,18:06,18:08,18:11,18:14,18:19,18:23,,,,
4283,18:10,18:18,18:24,18:27,18:30,18:32,18:35,18:38,18:43,18:47,,,,
2287,18:27,18:35,18:41,18:44,18:47,18:49,18:52,18:55,19:00,19:04,19:07,19:11,19:15,19:20
4291,18:34,18:42,18:48,18:51,18:54,18:56,18:59,19:02,19:07,19:11,,,,
2295,18:51,18:59,19:05,19:08,19:11,19:13,19:16,19:19,19:24,19:28,19:31,19:35,19:39,19:44
4299,18:58,19:06,19:12,19:15,19:18,19:20,19:23,19:26,19:31,19:35,,,,
2303,19:15,19:23,19:29,19:32,19:35,19:37,19:40,19:43,19:48,19:52,19:55,19:59,20:03,20:08
4307,19:23,19:31,19:37,19:40,19:43,19:45,19:48,19:51,19:56,20:00,,,,
2311,19:39,19:47,19:53,19:56,19:59,20:01,20:04,20:07,20:12,20:16,20:19,20:23,20:27,20:32
4315,19:47,19:55,20:01,20:04,20:07,20:09,20:12,20:15,20:20,20:24,,,,
4323,20:19,20:27,20:33,20:36,20:39,20:41,20:44,20:47,20:52,20:56,,,,
2327,20:36,20:44,20:50,20:53,20:56,20:58,21:01,21:04,21:09,21:13,21:16,21:20,21:24,21:29
4331,20:49,20:57,21:03,21:06,21:09,21:11,21:14,21:17,21:22,21:26,,,,
E2335,21:06,21:14,21:20,21:23,21:26,21:28,21:31,21:34,21:39,21:43,,,
