SERVICIO,LM-RETIR,LM-3FEBR,LM-CARRA,LM-COLEG,LM-BELGR,LM-DRAGO,LM-URQUI,LM-PUEYR,LM-MIGUE,LM-SMART,LM-SANDR,LM-MALAV,LM-VBALL,LM-CHILA,LM-JLSUA
1291,,,,,05:11,05:15,05:18,05:21,05:25,05:29,05:31,05:33,05:36,05:38,05:40
1293,,,,,05:41,05:45,05:48,05:51,05:55,05:59,06:01,06:03,06:06,06:08,06:10
3501,06:49,07:00,07:03,07:06,07:10,07:14,07:17,07:20,07:24,07:28,07:30,07:32,07:35,07:37,07:39
3505,07:06,07:17,07:20,07:23,07:27,07:31,07:34,07:37,07:41,07:45,07:47,07:49,07:52,07:54,07:56
3507,07:25,07:36,07:39,07:42,07:46,07:50,07:53,07:56,08:00,08:04,08:06,08:08,08:11,08:13,08:15
3511,07:43,07:54,07:57,08:00,08:04,08:08,08:11,08:14,08:18,08:22,08:24,08:26,08:29,08:31,08:33
3513,08:01,08:12,08:15,08:18,08:22,08:26,08:29,08:32,08:36,08:40,08:42,08:44,08:47,08:49,08:51
3517,08:19,08:30,08:33,08:36,08:40,08:44,08:47,08:50,08:54,08:58,09:00,09:02,09:05,09:07,09:09
3519,08:37,08:48,08:51,08:54,08:58,09:02,09:05,09:08,09:12,09:16,09:18,09:20,09:23,09:25,09:27
3523,08:55,09:06,09:09,09:12,09:16,09:20,09:23,09:26,09:30,09:34,09:36,09:38,09:41,09:43,09:45
3525,09:13,09:24,09:27,09:30,09:34,09:38,09:41,09:44,09:48,09:52,09:54,09:56,09:59,10:01,10:03
3529,09:31,09:42,09:45,09:48,09:52,09:56,09:59,10:02,10:06,10:10,10:12,10:14,10:17,10:19,10:21
3531,09:49,10:00,10:03,10:06,10:10,10:14,10:17,10:20,10:24,10:28,10:30,10:32,10:35,10:37,10:39
3535,10:07,10:18,10:21,10:24,10:28,10:32,10:35,10:38,10:42,10:46,10:48,10:50,10:53,10:55,10:57
3537,10:25,10:36,10:39,10:42,10:46,10:50,10:53,10:56,11:00,11:04,11:06,11:08,11:11,11:13,11:15
3541,10:43,10:54,10:57,11:00,11:04,11:08,11:11,11:14,11:18,11:22,11:24,11:26,11:29,11:31,11:33
3543,11:01,11:12,11:15,11:18,11:22,11:26,11:29,11:32,11:36,11:40,11:42,11:44,11:47,11:49,11:51
3547,11:19,11:30,11:33,11:36,11:40,11:44,11:47,11:50,11:54,11:58,12:00,12:02,12:05,12:07,12:09
3549,11:37,11:48,11:51,11:54,11:58,12:02,12:05,12:08,12:12,12:16,12:18,12:20,12:23,12:25,12:27
3553,11:55,12:06,12:09,12:12,12:16,12:20,12:23,12:26,12:30,12:34,12:36,12:38,12:41,12:43,12:45
3555,12:13,12:24,12:27,12:30,12:34,12:38,12:41,12:44,12:48,12:52,12:54,12:56,12:59,13:01,13:03
3559,12:31,12:42,12:45,12:48,12:52,12:56,12:59,13:02,13:06,13:10,13:12,13:14,13:17,13:19,13:21
3561,12:49,13:00,13:03,13:06,13:10,13:14,13:17,13:20,13:24,13:28,13:30,13:32,13:35,13:37,13:39
3565,13:07,13:18,13:21,13:24,13:28,13:32,13:35,13:38,13:42,13:46,13:48,13:50,13:53,13:55,13:57
3567,13:25,13:36,13:39,13:42,13:46,13:50,13:53,13:56,14:00,14:04,14:06,14:08,14:11,14:13,14:15
3571,13:43,13:54,13:57,14:00,14:04,14:08,14:11,14:14,14:18,14:22,14:24,14:26,14:29,14:31,14:33
3573,14:00,14:11,14:14,14:17,14:21,14:25,14:28,14:31,14:35,14:39,14:41,14:43,14:46,14:48,14:50
3577,14:19,14:30,14:33,14:36,14:40,14:44,14:47,14:50,14:54,14:58,15:00,15:02,15:05,15:07,15:09
3579,14:37,14:48,14:51,14:54,14:58,15:02,15:05,15:08,15:12,15:16,15:18,15:20,15:23,15:25,15:27
3583,14:55,15:06,15:09,15:12,15:16,15:20,15:23,15:26,15:30,15:34,15:36,15:38,15:41,15:43,15:45
3585,15:13,15:24,15:27,15:30,15:34,15:38,15:41,15:44,15:48,15:52,15:54,15:56,15:59,16:01,16:03
3589,15:31,15:42,15:45,15:48,15:52,15:56,15:59,16:02,16:06,16:10,16:12,16:14,16:17,16:19,16:21
3591,15:49,16:00,16:03,16:06,16:10,16:14,16:17,16:20,16:24,16:28,16:30,16:32,16:35,16:37,16:39
3595,16:07,16:18,16:21,16:24,16:28,16:32,16:35,16:38,16:42,16:46,16:48,16:50,16:53,16:55,16:57
3597,16:25,16:36,16:39,16:42,16:46,16:50,16:53,16:56,17:00,17:04,17:06,17:08,17:11,17:13,17:15
3601,16:43,16:54,16:57,17:00,17:04,17:08,17:11,17:14,17:18,17:22,17:24,17:26,17:29,17:31,17:33
3603,17:01,17:12,17:15,17:18,17:22,17:26,17:29,17:32,17:36,17:40,17:42,17:44,17:47,17:49,17:51
3607,17:19,17:30,17:33,17:36,17:40,17:44,17:47,17:50,17:54,17:58,18:00,18:02,18:05,18:07,18:09
3609,17:37,17:48,17:51,17:54,17:58,18:02,18:05,18:08,18:12,18:16,18:18,18:20,18:23,18:25,18:27
3613,17:55,18:06,18:09,18:12,18:16,18:20,18:23,18:26,18:30,18:34,18:36,18:38,18:41,18:43,18:45
3615,18:13,18:24,18:27,18:30,18:34,18:38,18:41,18:44,18:48,18:52,18:54,18:56,18:59,19:01,19:03
3619,18:31,18:42,18:45,18:48,18:52,18:56,18:59,19:02,19:06,19:10,19:12,19:14,19:17,19:19,19:21
3621,18:49,19:00,19:03,19:06,19:10,19:14,19:17,19:20,19:24,19:28,19:30,19:32,19:35,19:37,19:39
3625,19:07,19:18,19:21,19:24,19:28,19:32,19:35,19:38,19:42,19:46,19:48,19:50,19:53,19:55,19:57
3627,19:25,19:36,19:39,19:42,19:46,19:50,19:53,19:56,20:00,20:04,20:06,20:08,20:11,20:13,20:15
3631,19:43,19:54,19:57,20:00,20:04,20:08,20:11,20:14,20:18,20:22,20:24,20:26,20:29,20:31,20:33
3633,20:01,20:12,20:15,20:18,20:22,20:26,20:29,20:32,20:36,20:40,20:42,20:44,20:47,20:49,20:51
3637,20:19,20:30,20:33,20:36,20:40,20:44,20:47,20:50,20:54,20:58,21:00,21:02,21:05,21:07,21:09
3639,20:37,20:48,20:51,20:54,20:58,21:02,21:05,21:08,21:12,21:16,21:18,21:20,21:23,21:25,21:27
3643,20:55,21:06,21:09,21:12,21:16,21:20,21:23,21:26,21:30,21:34,21:36,21:38,21:41,21:43,21:45
3645,21:13,21:24,21:27,21:30,21:34,21:38,21:41,21:44,21:48,21:52,21:54,21:56,21:59,22:01,22:03
3647,21:22,21:33,21:36,21:39,21:43,21:47,21:50,21:53,21:57,22:01,22:03,22:05,22:08,22:10,22:12
3649,21:31,21:42,21:45,21:48,21:52,21:56,21:59,22:02,22:06,22:10,22:12,22:14,22:17,22:19,22:21
3651,21:49,22:00,22:03,22:06,22:10,22:14,22:17,22:20,22:24,22:28,22:30,22:32,22:35,22:37,22:39
3653,21:58,22:09,22:12,22:15,22:19,22:23,22:26,22:29,22:33,22:37,22:39,22:41,22:44,22:46,22:48
3655,22:07,22:18,22:21,22:24,22:28,22:32,22:35,22:38,22:42,22:46,22:48,22:50,22:53,22:55,22:57
3657,22:13,22:24,22:27,22:30,22:34,22:38,22:41,22:44,22:48,22:52,22:54,22:56,22:59,23:01,23:03
3659,22:19,22:30,22:33,22:36,22:40,22:44,22:47,22:50,22:54,22:58,23:00,23:02,23:05,23:07,23:09
3661,,,,,23:05,23:09,23:12,23:15,23:19,23:23,23:25,23:27,23:30,23:32,23:34
3663,,,,,23:30,23:34,23:37,23:40,23:44,23:48,23:50,23:52,23:55,23:57,23:59
