SERVICIO,LM_TIGRE,LM_CARUP,LM_SFERN,LM_VIRRE,LM_VICTO,LM_BECCA,LM_SISID,LM_ACASU,LM_MARTI,LM_LUCIL,LM_OLIVO,LM_VLOPE,LM_RIVAD,LM_NUNEZ,LM_BELGC,LM_LTORR,LM_RETIR
1720,,,,,06:11,06:15,06:20,06:23,06:26,06:28,06:32,06:36,06:40,06:45,06:49,06:51,07:02
1722,,,,,06:26,06:30,06:35,06:38,06:41,06:43,06:47,06:51,06:55,07:00,07:04,07:06,07:17
1724,,,,,06:41,06:45,06:50,06:53,06:56,06:58,07:02,07:06,07:10,07:15,07:19,07:21,07:32
3026,06:40,06:46,06:49,06:52,06:56,07:00,07:05,07:08,07:11,07:13,07:17,07:21,07:25,07:30,07:34,07:36,07:47
3028,06:55,07:01,07:04,07:07,07:11,07:15,07:20,07:23,07:26,07:28,07:32,07:36,07:40,07:45,07:49,07:51,08:02
3030,07:10,07:16,07:19,07:22,07:26,07:30,07:35,07:38,07:41,07:43,07:47,07:51,07:55,08:00,08:04,08:06,08:17
3032,07:25,07:31,07:34,07:37,07:41,07:45,07:50,07:53,07:56,07:58,08:02,08:06,08:10,08:15,08:19,08:21,08:32
3034,07:40,07:46,07:49,07:52,07:56,08:00,08:05,08:08,08:11,08:13,08:17,08:21,08:25,08:30,08:34,08:36,08:47
3036,07:55,08:01,08:04,08:07,08:11,08:15,08:20,08:23,08:26,08:28,08:32,08:36,08:40,08:45,08:49,08:51,09:02
3038,08:10,08:16,08:19,08:22,08:26,08:30,08:35,08:38,08:41,08:43,08:47,08:51,08:55,09:00,09:04,09:06,09:17
3040,08:25,08:31,08:34,08:37,08:41,08:45,08:50,08:53,08:56,08:58,09:02,09:06,09:10,09:15,09:19,09:21,09:32
3042,08:40,08:46,08:49,08:52,08:56,09:00,09:05,09:08,09:11,09:13,09:17,09:21,09:25,09:30,09:34,09:36,09:47
3044,08:55,09:01,09:04,09:07,09:11,09:15,09:20,09:23,09:26,09:28,09:32,09:36,09:40,09:45,09:49,09:51,10:02
3046,09:10,09:16,09:19,09:22,09:26,09:30,09:35,09:38,09:41,09:43,09:47,09:51,09:55,10:00,10:04,10:06,10:17
3048,09:25,09:31,09:34,09:37,09:41,09:45,09:50,09:53,09:56,09:58,10:02,10:06,10:10,10:15,10:19,10:21,10:32
3050,09:42,09:48,09:51,09:54,09:58,10:02,10:07,10:10,10:13,10:15,10:19,10:23,10:27,10:32,10:36,10:38,10:49
3052,09:59,10:05,10:08,10:11,10:15,10:19,10:24,10:27,10:30,10:32,10:36,10:40,10:44,10:49,10:53,10:55,11:06
3054,10:15,10:21,10:24,10:27,10:31,10:35,10:40,10:43,10:46,10:48,10:52,10:56,11:00,11:05,11:09,11:11,11:22
3056,10:33,10:39,10:42,10:45,10:49,10:53,10:58,11:01,11:04,11:06,11:10,11:14,11:18,11:23,11:27,11:29,11:40
3058,10:50,10:56,10:59,11:02,11:06,11:10,11:15,11:18,11:21,11:23,11:27,11:31,11:35,11:40,11:44,11:46,11:57
3060,11:07,11:13,11:16,11:19,11:23,11:27,11:32,11:35,11:38,11:40,11:44,11:48,11:52,11:57,12:01,12:03,12:14
3062,11:24,11:30,11:33,11:36,11:40,11:44,11:49,11:52,11:55,11:57,12:01,12:05,12:09,12:14,12:18,12:20,12:31
3064,11:41,11:47,11:50,11:53,11:57,12:01,12:06,12:09,12:12,12:14,12:18,12:22,12:26,12:31,12:35,12:37,12:48
3066,11:58,12:04,12:07,12:10,12:14,12:18,12:23,12:26,12:29,12:31,12:35,12:39,12:43,12:48,12:52,12:54,13:05
3068,12:15,12:21,12:24,12:27,12:31,12:35,12:40,12:43,12:46,12:48,12:52,12:56,13:00,13:05,13:09,13:11,13:22
3070,12:32,12:38,12:41,12:44,12:48,12:52,12:57,13:00,13:03,13:05,13:09,13:13,13:17,13:22,13:26,13:28,13:39
3072,12:49,12:55,12:58,13:01,13:05,13:09,13:14,13:17,13:20,13:22,13:26,13:30,13:34,13:39,13:43,13:45,13:56
3074,13:06,13:12,13:15,13:18,13:22,13:26,13:31,13:34,13:37,13:39,13:43,13:47,13:51,13:56,14:00,14:02,14:13
3076,13:23,13:29,13:32,13:35,13:39,13:43,13:48,13:51,13:54,13:56,14:00,14:04,14:08,14:13,14:17,14:19,14:30
3078,13:40,13:46,13:49,13:52,13:56,14:00,14:05,14:08,14:11,14:13,14:17,14:21,14:25,14:30,14:34,14:36,14:47
3080,13:57,14:03,14:06,14:09,14:13,14:17,14:22,14:25,14:28,14:30,14:34,14:38,14:42,14:47,14:51,14:53,15:04
3082,14:14,14:20,14:23,14:26,14:30,14:34,14:39,14:42,14:45,14:47,14:51,14:55,14:59,15:04,15:08,15:10,15:21
3084,14:31,14:37,14:40,14:43,14:47,14:51,14:56,14:59,15:02,15:04,15:08,15:12,15:16,15:21,15:25,15:27,15:38
3086,14:48,14:54,14:57,15:00,15:04,15:08,15:13,15:16,15:19,15:21,15:25,15:29,15:33,15:38,15:42,15:44,15:55
3088,15:05,15:11,15:14,15:17,15:21,15:25,15:30,15:33,15:36,15:38,15:42,15:46,15:50,15:55,15:59,16:01,16:12
3090,15:22,15:28,15:31,15:34,15:38,15:42,15:47,15:50,15:53,15:55,15:59,16:03,16:07,16:12,16:16,16:18,16:29
3092,15:38,15:44,15:47,15:50,15:54,15:58,16:03,16:06,16:09,16:11,16:15,16:19,16:23,16:28,16:32,16:34,16:45
3094,15:53,15:59,16:02,16:05,16:09,16:13,16:18,16:21,16:24,16:26,16:30,16:34,16:38,16:43,16:47,16:49,17:00
3096,16:08,16:14,16:17,16:20,16:24,16:28,16:33,16:36,16:39,16:41,16:45,16:49,16:53,16:58,17:02,17:04,17:15
3098,16:23,16:29,16:32,16:35,16:39,16:43,16:48,16:51,16:54,16:56,17:00,17:04,17:08,17:13,17:17,17:19,17:30
3100,16:38,16:44,16:47,16:50,16:54,16:58,17:03,17:06,17:09,17:11,17:15,17:19,17:23,17:28,17:32,17:34,17:45
3102,16:51,16:57,17:00,17:03,17:07,17:11,17:16,17:19,17:22,17:24,17:28,17:32,17:36,17:41,17:45,17:47,17:58
3104,17:08,17:14,17:17,17:20,17:24,17:28,17:33,17:36,17:39,17:41,17:45,17:49,17:53,17:58,18:02,18:04,18:15
3106,17:23,17:29,17:32,17:35,17:39,17:43,17:48,17:51,17:54,17:56,18:00,18:04,18:08,18:13,18:17,18:19,18:30
3108,17:38,17:44,17:47,17:50,17:54,17:58,18:03,18:06,18:09,18:11,18:15,18:19,18:23,18:28,18:32,18:34,18:45
3110,17:53,17:59,18:02,18:05,18:09,18:13,18:18,18:21,18:24,18:26,18:30,18:34,18:38,18:43,18:47,18:49,19:00
3112,18:08,18:14,18:17,18:20,18:24,18:28,18:33,18:36,18:39,18:41,18:45,18:49,18:53,18:58,19:02,19:04,19:15
3114,18:23,18:29,18:32,18:35,18:39,18:43,18:48,18:51,18:54,18:56,19:00,19:04,19:08,19:13,19:17,19:19,19:30
3116,18:38,18:44,18:47,18:50,18:54,18:58,19:03,19:06,19:09,19:11,19:15,19:19,19:23,19:28,19:32,19:34,19:45
3118,18:53,18:59,19:02,19:05,19:09,19:13,19:18,19:21,19:24,19:26,19:30,19:34,19:38,19:43,19:47,19:49,20:00
3120,19:08,19:14,19:17,19:20,19:24,19:28,19:33,19:36,19:39,19:41,19:45,19:49,19:53,19:58,20:02,20:04,20:15
3122,19:23,19:29,19:32,19:35,19:39,19:43,19:48,19:51,19:54,19:56,20:00,20:04,20:08,20:13,20:17,20:19,20:30
3124,19:38,19:44,19:47,19:50,19:54,19:58,20:03,20:06,20:09,20:11,20:15,20:19,20:23,20:28,20:32,20:34,20:45
3126,19:53,19:59,20:02,20:05,20:09,20:13,20:18,20:21,20:24,20:26,20:30,20:34,20:38,20:43,20:47,20:49,21:00
3128,20:08,20:14,20:17,20:20,20:24,20:28,20:33,20:36,20:39,20:41,20:45,20:49,20:53,20:58,21:02,21:04,21:15
3130,20:23,20:29,20:32,20:35,20:39,20:43,20:48,20:51,20:54,20:56,21:00,21:04,21:08,21:13,21:17,21:19,21:30
3132,20:38,20:44,20:47,20:50,20:54,20:58,21:03,21:06,21:09,21:11,21:15,21:19,21:23,21:28,21:32,21:34,21:45
3134,20:53,20:59,21:02,21:05,21:09,21:13,21:18,21:21,21:24,21:26,21:30,21:34,21:38,21:43,21:47,21:49,22:00
