SERVICIO,BN-VROSA,BN-CGRIE,BN-DVISO,BN-MALBE,BN-TORTU,BN-TALTA,BN-GBOUR,BN-PNOGU,BN-POLVO,BN-VMAYO,BN-SOURD,BN-DTORC,BN-MONTE,BN-BOULO,BN-VADEL,BN-CARAP,BN-MUNRO,BN-FLORI,BN-PADIL,BN-ARIST,BN-CUNIV,BN-SALDI,BN-RETIR
3002,00:30,00:35,00:39,00:43,00:46,00:50,00:54,00:58,01:02,01:05,01:08,01:11,01:15,01:22,,,,,,,,,
3004,01:30,01:35,01:39,01:43,01:46,01:50,01:54,01:58,02:02,02:05,02:08,02:11,02:15,02:22,,,,,,,,,
3006,03:10,03:15,03:19,03:23,03:26,03:30,03:34,03:38,03:42,03:45,03:48,03:51,03:55,04:02,04:06,04:09,04:12,04:15,04:18,04:22,04:27,04:33,04:40
3008,03:40,03:45,03:49,03:53,03:56,04:00,04:04,04:08,04:12,04:15,04:18,04:21,04:25,04:32,04:36,04:39,04:42,04:45,04:48,04:52,04:57,05:03,05:10
3010,04:29,04:33,04:37,04:40,04:43,04:46,04:50,04:57,05:01,05:04,05:07,05:10,05:13,05:17,05:22,05:28,05:35,,,,,,
3012,04:25,04:30,04:34,04:38,04:41,04:45,04:49,04:53,04:57,05:00,05:03,05:06,05:10,05:17,05:21,05:24,05:27,05:30,05:33,05:37,05:42,05:48,05:55
3014,05:08,05:12,05:16,05:19,05:22,05:25,05:29,05:36,05:40,05:43,05:46,05:49,05:52,05:56,06:01,06:07,06:14,,,,,,
3016,05:00,05:05,05:09,05:13,05:16,05:20,05:24,05:28,05:32,05:35,05:38,05:41,05:45,05:52,05:56,05:59,06:02,06:05,06:08,06:12,06:17,06:23,06:30
3018,05:40,05:44,05:48,05:51,05:54,05:57,06:01,06:08,06:12,06:15,06:18,06:21,06:24,06:28,06:33,06:39,06:46,,,,,,
3020,05:32,05:37,05:41,05:45,05:48,05:52,05:56,06:00,06:04,06:07,06:10,06:13,06:17,06:24,06:28,06:31,06:34,06:37,06:40,06:44,06:49,06:55,07:02
3022,06:12,06:16,06:20,06:23,06:26,06:29,06:33,06:40,06:44,06:47,06:50,06:53,06:56,07:00,07:05,07:11,07:18,,,,,,
3024,06:04,06:09,06:13,06:17,06:20,06:24,06:28,06:32,06:36,06:39,06:42,06:45,06:49,06:56,07:00,07:03,07:06,07:09,07:12,07:16,07:21,07:27,07:34
3026,06:44,06:48,06:52,06:55,06:58,07:01,07:05,07:12,07:16,07:19,07:22,07:25,07:28,07:32,07:37,07:43,07:50,,,,,,
3028,06:36,06:41,06:45,06:49,06:52,06:56,07:00,07:04,07:08,07:11,07:14,07:17,07:21,07:28,07:32,07:35,07:38,07:41,07:44,07:48,07:53,07:59,08:06
3030,07:16,07:20,07:24,07:27,07:30,07:33,07:37,07:44,07:48,07:51,07:54,07:57,08:00,08:04,08:09,08:15,08:22,,,,,,
3032,07:08,07:13,07:17,07:21,07:24,07:28,07:32,07:36,07:40,07:43,07:46,07:49,07:53,08:00,08:04,08:07,08:10,08:13,08:16,08:20,08:25,08:31,08:38
3034,07:48,07:52,07:56,07:59,08:02,08:05,08:09,08:16,08:20,08:23,08:26,08:29,08:32,08:36,08:41,08:47,08:54,,,,,,
3036,07:40,07:45,07:49,07:53,07:56,08:00,08:04,08:08,08:12,08:15,08:18,08:21,08:25,08:32,08:36,08:39,08:42,08:45,08:48,08:52,08:57,09:03,09:10
3038,07:56,08:01,08:05,08:09,08:12,08:16,08:20,08:24,08:28,08:31,08:34,08:37,08:41,08:48,08:52,08:55,08:58,09:01,09:04,09:08,09:13,09:19,09:26
3040,08:36,08:40,08:44,08:47,08:50,08:53,08:57,09:04,09:08,09:11,09:14,09:17,09:20,09:24,09:29,09:35,09:42,,,,,,
3042,08:28,08:33,08:37,08:41,08:44,08:48,08:52,08:56,09:00,09:03,09:06,09:09,09:13,09:20,09:24,09:27,09:30,09:33,09:36,09:40,09:45,09:51,09:58
3044,09:08,09:12,09:16,09:19,09:22,09:25,09:29,09:36,09:40,09:43,09:46,09:49,09:52,09:56,10:01,10:07,10:14,,,,,,
3046,08:59,09:04,09:08,09:12,09:15,09:19,09:23,09:27,09:31,09:34,09:37,09:40,09:44,09:51,09:55,09:58,10:01,10:04,10:07,10:11,10:16,10:22,10:29
3048,09:45,09:49,09:53,09:56,09:59,10:02,10:06,10:13,10:17,10:20,10:23,10:26,10:29,10:33,10:38,10:44,10:51,,,,,,
3050,09:44,09:49,09:53,09:57,10:00,10:04,10:08,10:12,10:16,10:19,10:22,10:25,10:29,10:36,10:40,10:43,10:46,10:49,10:52,10:56,11:01,11:07,11:14
3052,,,,,,,10:29,10:33,10:37,10:40,10:43,10:46,10:50,10:57,11:01,11:04,11:07,11:10,11:13,11:17,11:22,11:28,11:35
3054,10:28,10:33,10:37,10:41,10:44,10:48,10:52,10:56,11:00,11:03,11:06,11:09,11:13,11:20,11:24,11:27,11:30,11:33,11:36,11:40,11:45,11:51,11:58
3056,,,,,,,11:14,11:18,11:22,11:25,11:28,11:31,11:35,11:42,11:46,11:49,11:52,11:55,11:58,12:02,12:07,12:13,12:20
3058,11:13,11:18,11:22,11:26,11:29,11:33,11:37,11:41,11:45,11:48,11:51,11:54,11:58,12:05,12:09,12:12,12:15,12:18,12:21,12:25,12:30,12:36,12:43
3060,,,,,,,11:58,12:02,12:06,12:09,12:12,12:15,12:19,12:26,12:30,12:33,12:36,12:39,12:42,12:46,12:51,12:57,13:04
3062,11:56,12:01,12:05,12:09,12:12,12:16,12:20,12:24,12:28,12:31,12:34,12:37,12:41,12:48,12:52,12:55,12:58,13:01,13:04,13:08,13:13,13:19,13:26
3064,,,,,,,12:42,12:46,12:50,12:53,12:56,12:59,13:03,13:10,13:14,13:17,13:20,13:23,13:26,13:30,13:35,13:41,13:48
3066,12:40,12:45,12:49,12:53,12:56,13:00,13:04,13:08,13:12,13:15,13:18,13:21,13:25,13:32,13:36,13:39,13:42,13:45,13:48,13:52,13:57,14:03,14:10
3068,,,,,,,13:26,13:30,13:34,13:37,13:40,13:43,13:47,13:54,13:58,14:01,14:04,14:07,14:10,14:14,14:19,14:25,14:32
3070,13:24,13:29,13:33,13:37,13:40,13:44,13:48,13:52,13:56,13:59,14:02,14:05,14:09,14:16,14:20,14:23,14:26,14:29,14:32,14:36,14:41,14:47,14:54
3072,,,,,,,14:10,14:14,14:18,14:21,14:24,14:27,14:31,14:38,14:42,14:45,14:48,14:51,14:54,14:58,15:03,15:09,15:16
3074,14:08,14:13,14:17,14:21,14:24,14:28,14:32,14:36,14:40,14:43,14:46,14:49,14:53,15:00,15:04,15:07,15:10,15:13,15:16,15:20,15:25,15:31,15:38
3076,,,,,,,14:54,14:58,15:02,15:05,15:08,15:11,15:15,15:22,15:26,15:29,15:32,15:35,15:38,15:42,15:47,15:53,16:00
3078,14:52,14:57,15:01,15:05,15:08,15:12,15:16,15:20,15:24,15:27,15:30,15:33,15:37,15:44,15:48,15:51,15:54,15:57,16:00,16:04,16:09,16:15,16:22
3080,,,,,,,15:32,15:36,15:40,15:43,15:46,15:49,15:53,16:00,16:04,16:07,16:10,16:13,16:16,16:20,16:25,16:31,16:38
3082,15:24,15:29,15:33,15:37,15:40,15:44,15:48,15:52,15:56,15:59,16:02,16:05,16:09,16:16,16:20,16:23,16:26,16:29,16:32,16:36,16:41,16:47,16:54
3084,,,,,,,16:06,16:10,16:14,16:17,16:20,16:23,16:27,16:34,16:38,16:41,16:44,16:47,16:50,16:54,16:59,17:05,17:12
3086,16:00,16:05,16:09,16:13,16:16,16:20,16:24,16:28,16:32,16:35,16:38,16:41,16:45,16:52,16:56,16:59,17:02,17:05,17:08,17:12,17:17,17:23,17:30
3088,,,,,,,16:47,16:51,16:55,16:58,17:01,17:04,17:08,17:15,17:19,17:22,17:25,17:28,17:31,17:35,17:40,17:46,17:53
3090,16:36,16:41,16:45,16:49,16:52,16:56,17:00,17:04,17:08,17:11,17:14,17:17,17:21,17:28,17:32,17:35,17:38,17:41,17:44,17:48,17:53,17:59,18:06
3092,,,,,,,17:22,17:26,17:30,17:33,17:36,17:39,17:43,17:50,17:54,17:57,18:00,18:03,18:06,18:10,18:15,18:21,18:28
3094,17:20,17:25,17:29,17:33,17:36,17:40,17:44,17:48,17:52,17:55,17:58,18:01,18:05,18:12,18:16,18:19,18:22,18:25,18:28,18:32,18:37,18:43,18:50
3096,17:42,17:47,17:51,17:55,17:58,18:02,18:06,18:10,18:14,18:17,18:20,18:23,18:27,18:34,18:38,18:41,18:44,18:47,18:50,18:54,18:59,19:05,19:12
3098,18:04,18:09,18:13,18:17,18:20,18:24,18:28,18:32,18:36,18:39,18:42,18:45,18:49,18:56,19:00,19:03,19:06,19:09,19:12,19:16,19:21,19:27,19:34
3100,,,,,,,18:50,18:54,18:58,19:01,19:04,19:07,19:11,19:18,19:22,19:25,19:28,19:31,19:34,19:38,19:43,19:49,19:56
3102,18:48,18:53,18:57,19:01,19:04,19:08,19:12,19:16,19:20,19:23,19:26,19:29,19:33,19:40,19:44,19:47,19:50,19:53,19:56,20:00,20:05,20:11,20:18
3104,19:10,19:15,19:19,19:23,19:26,19:30,19:34,19:38,19:42,19:45,19:48,19:51,19:55,20:02,20:06,20:09,20:12,20:15,20:18,20:22,20:27,20:33,20:40
3106,19:40,19:45,19:49,19:53,19:56,20:00,20:04,20:08,20:12,20:15,20:18,20:21,20:25,20:32,20:36,20:39,20:42,20:45,20:48,20:52,20:57,21:03,21:10
3108,20:09,20:14,20:18,20:22,20:25,20:29,20:33,20:37,20:41,20:44,20:47,20:50,20:54,21:01,21:05,21:08,21:11,21:14,21:17,21:21,21:26,21:32,21:39
3110,,,,,,,21:02,21:06,21:10,21:13,21:16,21:19,21:23,21:30,21:34,21:37,21:40,21:43,21:46,21:50,21:55,22:01,22:08
3112,21:07,21:12,21:16,21:20,21:23,21:27,21:31,21:35,21:39,21:42,21:45,21:48,21:52,21:59,22:03,22:06,22:09,22:12,22:15,22:19,22:24,22:30,22:37
3114,21:46,21:51,21:55,21:59,22:02,22:06,22:10,22:14,22:18,22:21,22:24,22:27,22:31,22:38,22:42,22:45,22:48,22:51,22:54,22:58,23:03,23:09,23:16
3116,22:37,22:42,22:46,22:50,22:53,22:57,23:01,23:05,23:09,23:12,23:15,23:18,23:22,23:29,23:33,23:36,23:39,23:42,23:45,23:49,23:54,00:00,00:07
3118,23:30,23:35,23:39,23:43,23:46,23:50,23:54,23:58,00:02,00:05,00:08,00:11,00:15,00:22,,,,,,,,,
